Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
TCS,IT Services & Consulting , 1 Lakh+ Employees , 56  ,79300.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.8,4.6,3.8,3.7,3.6,3.4,2.9,2.8
Accenture,IT Services & Consulting , 1 Lakh+ Employees , 35  ,49400.0,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,4.0,3.9,3.7,3.9,3.9,3.6,3.6,3.3
Cognizant,IT Services & Consulting , 1 Lakh+ Employees , 30  ,44700.0,,Promotions / Appraisal,3.9,3.7,3.7,3.7,3.7,3.5,3.5,3.2
Wipro,IT Services & Consulting , 1 Lakh+ Employees , 79  ,42500.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.8,3.9,3.7,3.7,3.7,3.5,3.2,3.0
Capgemini,IT Services & Consulting , 1 Lakh+ Employees , 57  ,36600.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.8,3.9,3.8,3.8,3.8,3.5,3.1,3.0
HDFC Bank,Banking , 1 Lakh+ Employees , 30  ,35500.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,3.9,4.0,3.5,3.6,3.8,3.5,3.5,3.3
ICICI Bank,Banking , 1 Lakh+ Employees , 30  ,35000.0,"Job Security, Skill Development / Learning, Company Culture",,4.0,4.1,3.7,3.8,3.9,3.6,3.7,3.7
Infosys,IT Services & Consulting , 1 Lakh+ Employees , 43  ,34400.0,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.8,4.2,3.8,3.8,3.8,3.5,2.9,2.9
Tech Mahindra,IT Services & Consulting , 1 Lakh+ Employees , 38  ,31600.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.6,3.5,3.5,3.5,3.4,3.2,3.0
HCLTech,IT Services & Consulting , 1 Lakh+ Employees , 33  ,31500.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.9,3.7,3.5,3.5,3.4,3.0,2.8
Genpact,IT Services & Consulting , 1 Lakh+ Employees , 27  ,28300.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.9,4.2,3.9,3.8,3.9,3.7,3.2,3.2
Teleperformance,BPO , 50k-1 Lakh Employees , 46  ,24500.0,,,3.8,3.7,3.7,3.7,3.7,3.6,3.5,3.4
Axis Bank,Banking , 50k-1 Lakh Employees , 31  ,23000.0,Job Security,Promotions / Appraisal,3.8,3.8,3.5,3.6,3.7,3.5,3.5,3.4
Amazon,Internet , 1 Lakh+ Employees , 30  ,22900.0,"Company Culture, Salary & Benefits, Work Life Balance",,4.1,3.8,3.9,4.1,3.9,3.8,4.0,3.5
Concentrix Corporation,BPO , 50k-1 Lakh Employees , 41  ,22900.0,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",3.9,4.1,3.6,3.8,3.6,3.5,3.3,3.1
Jio,Telecom , 50k-1 Lakh Employees , 6  ,20900.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,3.9,3.9,3.7,3.6,3.8,3.6,3.7,3.3
IBM,IT Services & Consulting , 1 Lakh+ Employees , 113  ,20400.0,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,4.1,4.1,4.1,4.0,4.0,3.8,3.5,3.3
Reliance Retail,Retail , 1 Lakh+ Employees , 18  ,20100.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,3.9,3.8,3.7,3.7,3.9,3.7,3.7,3.3
HDB Financial Services,NBFC , 1 Lakh+ Employees , 17  ,18500.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,4.0,3.8,3.8,3.8,3.9,3.7,3.5,3.4
iEnergizer,BPO , 10k-50k Employees , 24  ,17600.0,"Company Culture, Job Security, Skill Development / Learning",,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6
Larsen & Toubro Limited,Engineering & Construction , 10k-50k Employees , 86  ,16800.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.0,4.0,3.5,3.7,4.0,3.6,3.8,3.4
Deloitte,Management Consulting , 1 Lakh+ Employees , 179  ,15800.0,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,3.9,3.9,3.4,3.8,3.9,3.5,3.9,3.5
BYJU'S,EdTech , 10k-50k Employees , 13  ,15600.0,,"Job Security, Work Life Balance, Company Culture",3.1,2.3,2.6,2.7,3.1,2.7,3.5,2.9
Kotak Mahindra Bank,Banking , 50k-1 Lakh Employees , 21  ,14800.0,Job Security,Promotions / Appraisal,3.8,3.8,3.6,3.6,3.7,3.4,3.4,3.3
Vodafone Idea,Telecom , 5k-10k Employees , 6  ,14400.0,"Company Culture, Work Life Balance, Salary & Benefits",,4.1,3.9,4.0,4.0,3.9,3.8,3.9,3.6
Reliance Industries,Oil & Gas , 1 Lakh+ Employees , 47  ,14200.0,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.1,4.1,3.9,3.8,4.0,3.8,3.7,3.4
Bharti Airtel,Telecom , 10k-50k Employees , 29  ,12500.0,"Skill Development / Learning, Job Security, Salary & Benefits",,4.0,3.8,3.7,3.8,3.9,3.7,3.8,3.4
Tata Motors,Automobile , 10k-50k Employees , 79  ,10800.0,"Job Security, Company Culture, Skill Development / Learning",,4.2,4.1,4.0,4.0,4.0,3.9,3.8,3.6
WNS,BPO , 10k-50k Employees , 28  ,10000.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5,3.7,3.4,3.3,3.2,3.2,3.0,2.8
Flipkart,Internet , 10k-50k Employees , 17  ,9900.0,"Skill Development / Learning, Company Culture, Job Security",,4.0,3.8,3.8,3.9,3.9,3.7,3.8,3.4
